Bogennummer	Ort	Wenkersatz	Original	Alignment
15288	Herforst	WS01	Amm Wanter flegen de treien durch de Loft erum.	amm wanter flegen de treien durch de loft erum
15291	Bergweiler	WS01	Am Wanter fliegen die trecken Bläder an der Luft erom.	am wanter fliegen die trecken bläder an der luft erom
15296	Wittlich	WS01	Em Wänter flejen de trock'e Bläder durch de Loft herum.	em wänter flejen de trocke bläder durch de loft herum
15299	Altrich	WS01	Am Wanda flegen de trecke Bläda durech de Loft erom.	am wanda flegen de trecke bläda durech de loft erom
15343	Tiefenbach	WS01	Im Win[d]er flie die druckene Blierer in der Luft erimm.	im winder flie die druckene blierer in der luft erimm
15348	Schnorbach	WS01	Em Wender fliä die druckene Bliere in dä Luft eremm.	em wender fliä die druckene bliere in dä luft eremm
15349	Ellern	WS01	Im Wind'r fliee die därre <(druggene)> Bliere in de Luft erum.	im windr fliee die därre bliere in de luft erum
15350	Seibersbach	WS01	Im Winter fliehe die trockene Blärre dorch die Luft erum.	im winter fliehe die trockene blärre dorch die luft erum
15351	Daxweiler	WS01	Im Winter fliege die trockne Blärrer durch die Luft herum.	im winter fliege die trockne blärrer durch die luft herum
15365	Bingen	WS01	Im Winter fliehe die truckene Blätter durch die Luft erum.	im winter fliehe die truckene blätter durch die luft erum
15369	Rümmelsheim	WS01	Im Winter fliehe die drockne Blerrer dorch die Luft herom.	im winter fliehe die drockne blerrer dorch die luft herom
15380	Ockenheim	WS01	Im Winder flije die trockne Blärre durch die Luft rom.	im winder flije die trockne blärre durch die luft rom
15386	Wackernheim	WS01	Im Winter fliehe die truckne Blärrer durch die Luft erum.	im winter fliehe die truckne blärrer durch die luft erum
15389	Großwinternheim	WS01	Im Winder fliehe die drockene Blärre dorch die Luft erum.	im winder fliehe die drockene blärre dorch die luft erum
15393	Essenheim	WS01	Im Winder flieje die drock[a]ne Blärre dorch die Luft eromm.	im winder flieje die drockane blärre dorch die luft eromm
15394	Finthen	WS01	Im Winter flie die truckene Blärrer dorch die Luft erum.	im winter flie die truckene blärrer dorch die luft erum
16907	Altendorf	WS01	aên wintⱱ dô vlî<(g)>ŋ də traê<(g)>ŋ bleêtⱱ aê dⱱ loft rim.	aên wintⱱ dô vlîŋ də traêŋ bleêtⱱ aê dⱱ loft rim
16908	Klein	WS01	Em Winter fliegn de treign Bleeter ei dr Loft rimm. <(auch: fliegn … zukur.)>	em winter fliegn de treign bleeter ei dr loft rimm
17139	Schönbrunn	WS01	Im Winta flöign die truckna Blala in dea Luft herum.	im winta flöign die truckna blala in dea luft herum
20280	Osnabrück	WS01	Im Winter fleeget de dráugen Bláer dúúr de Luft herrúmme.	im winter fleeget de dráugen bláer dúúr de luft herrúmme
20485	Lohne	WS01	In'n Winter fleigt dei drögen Blähr dör dei Luft herüm.	inn winter fleigt dei drögen blähr dör dei luft herüm
20497	Meppen	WS01	In'n Winter fleget de drögen Bläere dör de Lucht herüm </besser in de Lucht ohne herüm>	inn winter fleget de drögen bläere dör de lucht herüm
21052	Neustadt	WS01	In'n Winter fleiget de drögen Bläder dorch de Luft herum.	inn winter fleiget de drögen bläder dorch de luft herum
21055	Otternhagen	WS01	Im Winter fleiget dä drögen Bläe in ner Luft herum.	im winter fleiget dä drögen bläe in ner luft herum
21547	Hildesheim	WS01	In Winter fleiget de drögen Bläder dorch de Luft herummer.	in winter fleiget de drögen bläder dorch de luft herummer
22204	Gifhorn	WS01	In'n Winter fleiget dä dregen Bläder dorch dä Luft herumme.	inn winter fleiget dä dregen bläder dorch dä luft herumme
22340	Lüderitz	WS01	In Winter flegn de dröin Bläder dörch d' Luft ümher.	in winter flegn de dröin bläder dörch d luft ümher
22792	Meuchefitz	WS01	Jn Windar fleg'n de dröhg Blärar därch de Luft arum.	jn windar flegn de dröhg blärar därch de luft arum
22794	Satemin	WS01	Jm Windder fleegn dee drög Blärer in dee Luft arum.	jm windder fleegn dee drög blärer in dee luft arum
22799	Lüchow	WS01	In Winder fleg'n de drög'n  Blärer in de Luft herrüm.	in winder flegn de drögn blärer in de luft herrüm
22893	Oberhausen	WS01	Em Wenter flegen de drogen Bläer dör de Luf heröm.	em wenter flegen de drogen bläer dör de luf heröm
23041	Dinslaken	WS01	In de Wenter fliegen de drögen Bläer dör de Lof heröm.	in de wenter fliegen de drögen bläer dör de lof heröm
23265	Pfalzdorf	WS01	Im Winter flihe die truckene Blärrer dorch de Luft herum.	im winter flihe die truckene blärrer dorch de luft herum
23330	Hamm	WS01	Im Winter flaiget de drö͡igen Bliër düër de Luft herümm.	im winter flaiget de drö͡igen bliër düër de luft herümm
23355	Griethausen	WS01	In de Wenter fliegen de dröge Blär dörr de Locht heröm.	in de wenter fliegen de dröge blär dörr de locht heröm
